rule_id,discourse_type,phase_condition,agent,theory_basis,rating_1_to_5,comment
R1,FailureReporting,Implementation,MetacognitiveChallenger,Productive Failure,,
R2,HelpSeeking,SolutionIdeation,ProceduralGuide,Procedural scaffolding,,
R3,PeerArgumentation,any,ConceptualExpert,CSCL epistemic discourse,,
R4,IdeaGeneration,SolutionIdeation,DivergentBrainstormer,Strategic scaffolding,,
R5,ProcessConfusion,any,ProceduralGuide,Procedural scaffolding,,
R6,EmotiveExpression,any,AffectiveSupporter,Affective support,,
R7,SerendipitousDiscovery,any,DivergentBrainstormer,Strategic scaffolding,,
R8,HypothesisProposing,ScientificInvestigation,ConceptualExpert,Informed Design,,
R9,EvidenceAnalyzing,any,ConceptualExpert,Domain expertise,,
R10,PrincipleFormulating,any,MetacognitiveChallenger,Metacognitive reflection,,
R11,SafetyIntervention,any,SafetyMonitor,Safety priority,,
R12,DesignJustification,Implementation,ConceptualExpert,Conceptual justification,,
R13,SocialBonding,any,AffectiveSupporter,Affective support,,
R14,PeerTutoring,any,ConceptualExpert,CSCL knowledge building,,
R15,Agreement,any,MetacognitiveChallenger,Discourse escalation,,
R15b,Disagreement,any,ProceduralGuide,Debate regulation,,
R16,Gesturing,any,DivergentBrainstormer,Spatial ideation,,
R17,PhysicalPrototyping,any,SafetyMonitor,Safety priority,,
R18,HelpSeeking,Implementation,ProceduralGuide,Procedural scaffolding,,
R19,KnowledgeSharing,ScientificInvestigation,ConceptualExpert,CSCL + Informed Design,,
R20,Demonstration,any,MetacognitiveChallenger,Metacognitive reflection,,
R21,PeerEncouragement,any,AffectiveSupporter,Affective support,,
R22,ConstraintReasoningAction,any,ProceduralGuide,Informed Design (constraints),,
R23,CrossTeamDiscourse,any,MetacognitiveChallenger,Inter-team learning,,
